clave,clave_ent,nom_ent,mun,pop,icu,beds,cve_sun,nom_sun
1001,1,Aguascalientes,Aguascalientes,961977,44,1022,M01.01,Aguascalientes
1002,1,Aguascalientes,Asientos,50864,0,0,NA,NA
1003,1,Aguascalientes,Calvillo,60760,0,30,NA,NA
1004,1,Aguascalientes,Cosío,16918,0,0,NA,NA
1005,1,Aguascalientes,Jesús María,130184,12,144,M01.01,Aguascalientes
1006,1,Aguascalientes,Pabellón de Arteaga,50032,0,30,NA,NA
1007,1,Aguascalientes,Rincón de Romos,57981,0,30,NA,NA
1008,1,Aguascalientes,San José de Gracia,9661,0,0,NA,NA
1009,1,Aguascalientes,Tepezalá,22743,0,0,NA,NA
1010,1,Aguascalientes,El Llano,21947,0,0,NA,NA
1011,1,Aguascalientes,San Francisco de los Romo,51568,0,1,M01.01,Aguascalientes
2001,2,Baja California,Ensenada,536143,14,520,M02.01,Ensenada
2002,2,Baja California,Mexicali,1087478,32,1101,M02.02,Mexicali
2003,2,Baja California,Tecate,113857,0,112,M02.03,Tijuana
2004,2,Baja California,Tijuana,1789531,29,2189,M02.03,Tijuana
2005,2,Baja California,Playas de Rosarito,107859,0,64,M02.03,Tijuana
3001,3,Baja California Sur,Comondú,83051,0,111,NA,NA
3002,3,Baja California Sur,Mulegé,67727,0,71,NA,NA
3003,3,Baja California Sur,La Paz,301961,26,650,M03.01,La Paz
3008,3,Baja California Sur,Los Cabos,330312,0,244,NA,NA
3009,3,Baja California Sur,Loreto,21657,0,16,NA,NA
4001,4,Campeche,Calkiní,63298,0,14,NA,NA
4002,4,Campeche,Campeche,317424,25,508,M04.01,Campeche
4003,4,Campeche,Carmen,275478,7,227,NA,NA
4004,4,Campeche,Champotón,99945,0,24,NA,NA
4005,4,Campeche,Hecelchakán,34683,0,10,NA,NA
4006,4,Campeche,Hopelchén,44051,0,28,NA,NA
4007,4,Campeche,Palizada,9868,0,16,NA,NA
4008,4,Campeche,Tenabo,11930,0,0,NA,NA
4009,4,Campeche,Escárcega,63495,0,31,NA,NA
4010,4,Campeche,Calakmul,31723,0,12,NA,NA
4011,4,Campeche,Candelaria,48722,0,32,NA,NA
5001,5,Coahuila,Abasolo,1130,0,0,NA,NA
5002,5,Coahuila,Acuña,163157,0,120,NA,NA
5003,5,Coahuila,Allende,24705,0,30,NA,NA
5004,5,Coahuila,Arteaga,25477,0,0,M05.04,Saltillo
5005,5,Coahuila,Candela,1945,0,0,NA,NA
5006,5,Coahuila,Castaños,30568,0,0,M05.02,Monclova-Frontera
