"cve_col","robos"
"02-001",2
"02-002",3
"02-003",2
"02-005",11
"02-006",6
"02-007",19
"02-008",15
"02-009",1
"02-010",2
"02-014",1
"02-015",3
"02-016",1
"02-017",1
"02-018",6
"02-023",4
"02-024",8
"02-025",23
"02-026",1
"02-028",3
"02-030",2
"02-032",1
"02-036",9
"02-037",2
"02-038",3
"02-041",3
"02-042",1
"02-043",4
"02-044",3
"02-045",6
"02-047",1
"02-049",7
"02-050",1
"02-051",1
"02-052",11
"02-054",1
"02-056",7
"02-059",5
"02-060",4
"02-061",3
"02-062",2
"02-063",1
"02-064",2
"02-066",3
"02-067",6
"02-069",5
"02-070",1
"02-071",10
"02-072",9
"02-074",9
"02-075",6
"02-077",17
"02-078",4
"02-079",11
"02-080",2
"02-081",13
"02-082",3
"02-083",2
"02-085",1
"02-086",1
"02-087",2
"02-088",1
"02-089",3
"02-090",6
"02-091",4
"02-093",3
"02-094",4
"02-095",4
"02-096",2
"02-097",12
"02-098",6
"02-099",5
"02-101",7
"02-102",12
"02-103",3
"02-104",7
"02-105",1
"02-108",6
"02-111",9
"02-112",8
"02-113",3
"02-114",2
"03-003",2
"03-006",3
"03-007",4
"03-008",7
"03-009",4
"03-010",3
"03-011",1
"03-012",23
"03-014",2
"03-017",7
"03-019",1
"03-020",5
"03-021",21
"03-023",1
"03-024",11
"03-025",2
"03-026",1
"03-027",1
"03-029",7
"03-030",8
"03-031",10
"03-033",3
"03-034",2
"03-036",2
"03-037",23
"03-038",1
"03-039",2
"03-041",2
"03-045",4
"03-046",1
"03-049",1
"03-050",1
"03-051",3
"03-052",1
"03-054",1
"03-056",1
"03-057",5
"03-058",1
"03-059",3
"03-060",1
"03-062",1
"03-065",1
"03-066",6
"03-069",4
"03-072",2
"03-073",1
"03-075",3
"03-078",10
"03-081",1
"03-084",3
"03-085",2
"03-088",1
"03-092",1
"03-093",1
"03-094",3
"03-095",1
"03-097",1
"03-098",3
"03-099",3
"03-100",2
"03-101",8
"03-102",2
"03-103",2
"03-104",5
"03-105",7
"03-106",6
"03-107",1
"03-109",7
"03-110",1
"03-112",3
"03-113",7
"03-114",3
"03-115",1
"03-119",1
"03-122",1
"03-123",1
"03-125",2
"03-126",2
"03-127",1
"03-128",8
"03-129",23
"03-130",7
"03-131",1
"03-132",3
"03-133",1
"03-134",4
"03-135",4
"03-136",7
"03-137",9
"03-138",8
"03-139",8
"03-140",11
"03-141",4
"03-142",6
"03-143",6
"03-144",6
"03-145",1
"03-146",3
"03-147",6
"03-148",2
"03-152",1
"03-153",1
"03-157",2
"04-001",1
"04-005",1
"04-012",2
"04-015",3
"04-019",1
"04-022",4
"04-023",3
"04-026",2
"04-030",1
"04-031",1
"04-032",1
"04-036",6
"04-038",1
"04-045",4
"04-046",4
"04-047",2
"04-050",1
"04-052",2
"04-056",14
"04-058",3
"04-059",5
"05-001",5
"05-002",6
"05-003",1
"05-004",1
"05-006",4
"05-011",2
"05-013",3
"05-014",5
"05-015",2
"05-018",13
"05-020",1
"05-021",1
"05-023",4
"05-025",2
"05-026",6
"05-028",5
"05-029",8
"05-031",4
"05-032",5
"05-033",4
"05-034",6
"05-035",7
"05-036",1
"05-037",2
"05-038",1
"05-039",1
"05-040",6
"05-041",1
"05-043",1
"05-044",1
"05-045",1
"05-046",4
"05-047",1
"05-049",2
"05-050",5
"05-051",3
"05-054",2
"05-055",6
"05-058",1
"05-059",3
"05-063",23
"05-065",1
"05-066",2
"05-067",3
"05-068",3
"05-070",3
"05-071",5
"05-072",1
"05-074",12
"05-075",1
"05-076",3
"05-077",2
"05-078",4
"05-080",1
"05-083",3
"05-086",4
"05-089",1
"05-091",5
"05-092",1
"05-093",6
"05-094",2
"05-095",2
"05-098",3
"05-099",1
"05-101",2
"05-102",5
"05-103",1
"05-104",4
"05-105",3
"05-106",7
"05-107",6
"05-108",3
"05-111",9
"05-113",3
"05-114",9
"05-115",2
"05-118",1
"05-119",15
"05-120",2
"05-124",6
"05-126",2
"05-127",1
"05-129",5
"05-130",3
"05-131",8
"05-132",5
"05-133",7
"05-134",2
"05-135",2
"05-139",1
"05-141",7
"05-143",3
"05-146",20
"05-149",5
"05-151",2
"05-153",8
"05-156",11
"05-159",8
"05-161",2
"05-164",5
"05-165",1
"05-167",1
"05-168",6
"05-170",20
"05-171",3
"05-173",1
"05-174",3
"05-177",2
"05-179",6
"05-181",18
"05-182",2
"05-183",1
"05-184",2
"05-185",1
"05-188",1
"05-189",3
"05-192",1
"05-193",1
"05-195",9
"05-196",11
"05-198",3
"05-199",12
"05-200",1
"05-206",2
"05-208",3
"05-210",1
"05-212",3
"05-215",4
"05-216",5
"05-217",9
"05-218",6
"05-219",3
"05-220",5
"05-221",5
"05-222",3
"05-223",9
"05-224",2
"05-225",27
"05-226",9
"05-227",8
"05-228",18
"05-229",4
"05-230",5
"05-231",6
"05-232",4
"05-233",2
"05-234",1
"05-235",3
"05-236",5
"05-237",1
"05-238",6
"05-239",4
"05-240",6
"05-241",5
"05-242",10
"05-243",6
"05-244",2
"05-245",3
"05-246",17
"05-247",5
"05-248",6
"05-249",12
"05-250",13
"05-251",2
"05-252",2
"05-253",3
"05-254",1
"05-255",1
"05-256",5
"06-002",5
"06-004",11
"06-005",3
"06-007",5
"06-008",4
"06-009",3
"06-010",8
"06-013",4
"06-014",2
"06-017",4
"06-018",4
