"cve_col","totems"
"02-001",1
"02-002",8
"02-003",1
"02-005",5
"02-006",7
"02-007",7
"02-008",19
"02-009",8
"02-010",5
"02-012",0
"02-014",2
"02-016",10
"02-017",0
"02-018",8
"02-020",0
"02-021",1
"02-025",75
"02-026",7
"02-027",9
"02-028",0
"02-030",3
"02-032",7
"02-033",0
"02-034",1
"02-035",3
"02-036",12
"02-037",1
"02-038",2
"02-039",0
"02-040",1
"02-041",7
"02-042",2
"02-043",5
"02-044",5
"02-045",3
"02-047",0
"02-048",0
"02-049",3
"02-050",1
"02-051",2
"02-052",12
"02-053",0
"02-054",7
"02-055",7
"02-056",15
"02-057",2
"02-058",0
"02-059",10
"02-060",4
"02-061",7
"02-062",1
"02-063",9
"02-064",0
"02-066",16
"02-067",11
"02-069",12
"02-070",10
"02-071",20
"02-073",1
"02-074",14
"02-075",0
"02-076",0
"02-077",4
"02-078",3
"02-079",15
"02-080",7
"02-081",11
"02-082",1
"02-084",0
"02-086",0
"02-087",5
"02-088",10
"02-089",0
"02-090",8
"02-091",7
"02-092",0
"02-093",1
"02-094",6
"02-095",6
"02-096",9
"02-097",22
"02-098",6
"02-099",8
"02-100",1
"02-101",3
"02-102",18
"02-103",5
"02-104",7
"02-106",3
"02-107",0
"02-108",5
"02-109",0
"02-110",0
"02-111",39
"02-113",12
"03-003",17
"03-005",0
"03-006",10
"03-007",9
"03-008",28
"03-009",6
"03-010",0
"03-011",1
"03-012",26
"03-013",6
"03-016",2
"03-017",14
"03-018",0
"03-019",0
"03-020",16
"03-021",3
"03-022",12
"03-023",0
"03-024",1
"03-025",13
"03-028",0
"03-029",2
"03-030",3
"03-031",0
"03-033",3
"03-034",1
"03-035",12
"03-036",12
"03-037",36
"03-038",5
"03-039",19
"03-041",6
"03-042",8
"03-043",0
"03-044",5
"03-045",7
"03-046",10
"03-047",0
"03-048",3
"03-049",12
"03-050",13
"03-051",12
"03-052",0
"03-053",1
"03-054",1
"03-055",0
"03-056",0
"03-057",0
"03-058",0
"03-060",1
"03-061",3
"03-062",15
"03-063",0
"03-065",9
"03-066",9
"03-069",0
"03-071",1
"03-072",5
"03-073",1
"03-074",0
"03-075",0
"03-076",0
"03-077",0
"03-078",21
"03-079",0
"03-080",1
"03-083",9
"03-085",17
"03-088",8
"03-089",2
"03-092",7
"03-093",7
"03-094",24
"03-095",10
"03-096",6
"03-097",2
"03-099",21
"03-100",11
"03-101",13
"03-102",26
"03-103",10
"03-104",3
"03-105",13
"03-106",25
"03-107",6
"03-108",0
"03-109",22
"03-110",0
"03-112",0
"03-113",23
"03-114",1
"03-115",1
"03-116",0
"03-117",0
"03-118",0
"03-119",0
"03-121",0
"03-122",14
"03-123",0
"03-125",6
"03-127",38
"03-129",39
"03-131",2
"03-134",14
"03-137",51
"03-142",80
"03-148",3
"03-151",0
"03-152",5
"03-156",2
"03-159",2
"04-001",4
"04-002",2
"04-003",1
"04-004",7
"04-005",1
"04-006",5
"04-008",20
"04-011",4
"04-012",2
"04-014",1
"04-016",0
"04-017",6
"04-018",5
"04-019",0
"04-021",1
"04-022",23
"04-025",3
"04-026",10
"04-028",24
"04-030",12
"04-031",19
"04-032",6
"04-033",12
"04-034",7
"04-036",24
"04-038",20
"04-045",24
"04-046",56
"04-047",17
"04-050",0
"04-051",12
"04-052",20
"04-055",0
"04-056",22
"04-058",0
"04-059",26
"05-001",14
"05-003",6
"05-004",0
"05-005",7
"05-006",1
"05-007",16
"05-010",0
"05-011",1
"05-012",1
"05-013",3
"05-014",11
"05-015",1
"05-016",21
"05-018",4
"05-020",4
"05-022",3
"05-023",3
"05-025",2
"05-028",6
"05-029",11
"05-031",12
"05-032",7
"05-033",12
"05-034",7
"05-035",22
"05-036",4
"05-037",4
"05-038",9
"05-039",1
"05-041",0
"05-042",0
"05-044",2
"05-045",1
"05-046",4
"05-047",0
"05-048",1
"05-049",5
"05-050",9
"05-054",3
"05-055",6
"05-056",4
"05-058",0
"05-059",2
"05-060",2
"05-061",0
"05-062",0
"05-063",3
"05-065",3
"05-066",7
"05-067",11
"05-068",5
"05-070",8
"05-071",9
"05-072",26
"05-074",8
"05-075",1
"05-076",10
